-5KQ66BBWC4,0902,0.077,0.151,0.283,0.811,80,1
-5KQ66BBWC4,0902,0.077,0.151,0.283,0.811,9,1
-5KQ66BBWC4,0902,0.226,0.032,0.366,0.497,12,0
-5KQ66BBWC4,0902,0.226,0.032,0.366,0.497,17,0
-5KQ66BBWC4,0902,0.226,0.032,0.366,0.497,80,0
-5KQ66BBWC4,0902,0.332,0.194,0.481,0.891,80,2
-5KQ66BBWC4,0902,0.332,0.194,0.481,0.891,9,2
-5KQ66BBWC4,0902,0.505,0.105,0.653,0.780,9,3
-5KQ66BBWC4,0902,0.626,0.146,0.805,0.818,9,5
-5KQ66BBWC4,0902,0.805,0.222,0.997,1.000,80,4
-5KQ66BBWC4,0902,0.805,0.222,0.997,1.000,9,4
-5KQ66BBWC4,0903,0.000,0.162,0.177,0.804,80,6
-5KQ66BBWC4,0903,0.000,0.162,0.177,0.804,9,6
-5KQ66BBWC4,0903,0.141,0.158,0.298,0.825,12,8
-5KQ66BBWC4,0903,0.141,0.158,0.298,0.825,80,8
-5KQ66BBWC4,0903,0.226,0.026,0.363,0.512,12,0
-5KQ66BBWC4,0903,0.226,0.026,0.363,0.512,80,0
-5KQ66BBWC4,0903,0.328,0.182,0.484,0.895,80,2
-5KQ66BBWC4,0903,0.328,0.182,0.484,0.895,9,2
-5KQ66BBWC4,0903,0.507,0.147,0.666,0.789,80,7
-5KQ66BBWC4,0903,0.507,0.147,0.666,0.789,9,7
-5KQ66BBWC4,0903,0.642,0.158,0.791,0.859,9,10
-5KQ66BBWC4,0903,0.785,0.150,0.886,0.703,12,11
-5KQ66BBWC4,0903,0.785,0.150,0.886,0.703,80,11
-5KQ66BBWC4,0903,0.802,0.267,0.994,0.971,80,4
-5KQ66BBWC4,0903,0.802,0.267,0.994,0.971,9,4
-5KQ66BBWC4,0903,0.865,0.158,0.991,0.436,80,9
-5KQ66BBWC4,0903,0.865,0.158,0.991,0.436,9,9
-5KQ66BBWC4,0904,0.217,0.008,0.982,0.966,12,4
-5KQ66BBWC4,0904,0.217,0.008,0.982,0.966,80,4
-5KQ66BBWC4,0905,0.044,0.056,0.236,0.891,12,13
-5KQ66BBWC4,0905,0.192,0.072,0.411,0.970,12,15
-5KQ66BBWC4,0905,0.192,0.072,0.411,0.970,80,15
-5KQ66BBWC4,0905,0.392,0.033,0.556,0.618,14,12
-5KQ66BBWC4,0905,0.392,0.033,0.556,0.618,17,12
-5KQ66BBWC4,0905,0.614,0.078,0.826,0.975,12,14
-5KQ66BBWC4,0905,0.614,0.078,0.826,0.975,80,14
-5KQ66BBWC4,0906,0.030,0.078,0.225,0.876,12,13
-5KQ66BBWC4,0906,0.191,0.073,0.399,0.971,12,15
-5KQ66BBWC4,0906,0.408,0.008,0.586,0.639,14,12
-5KQ66BBWC4,0906,0.408,0.008,0.586,0.639,17,12
